,,
رقم الصنف,اسم الصف,الوحدة
17075,دبس فليفلة حلوة 1200جرام شد6,حبة
17076,دبس فليفلة حارة 1200جرام شد 6,حبة
17077,دبس فليفلة حلوة 660جرام شد 12,حبة
17078,دبس فليفلة حارة 660جرام شد 12,حبة
17079,بهارت سمبوسه  علب شد 24,علبة
17080,مسمنه جريش علب شد 24 حبه,علبة
17081,بهارت شربه علب شد 24حبه,علبة
17082,توابل المعمول والحلويات اسناد 200جرام *12,حبة
17083,الغربي بهارات بيضا,علبة
17084,سكر كريستال الزعفران,حبة
17085,بهارات علب مكس منوع,حبة
17087,بهارات شوربة مبكت,حبة
015,خلطه قهوه دار خولان صنف مجمع وزن,كيلو
13213,قهوة دار خولان علب  1000جرام شد 12,حبة
18001,بن العميد فاتح مع هيل,حبة
18002,بن العميد فاتح بدون هيل,حبة
18003,بن العميد غامق مع هيل,حبة
18004,بن العميد غامق بدون هيل,حبة
18005,بن العميد وسط مع هيل,حبة
18006,بن العميد وسط بدون هيل,حبة
18007,بن العميد فرنسية,حبة
18008,بن  حسيب الذهبي 500جم,حبة
18010,قهوة اركان بيشة 500جم 12حبه,حبة
18011,قهوة بيشة 1 كغ,حبة
18011,قهوة بيشة 1 كغ,حبة
18012,خلطة القصيم كبير,حبة
18013,خلطة القصيم وسط,حبة
18014,خلطة القصيم صغير,حبة
18015,خلطة القصيم  زعفران,حبة
18016,خلطة القصيم  هيل,حبة
18017,خلطة الجنوب للقهوة 125 جم,حبة
18019,نسكافية كلاسيك  190جم*12,حبة
18020,نسكافية كلاسيك 100جم*24,حبة
18021,نسكافيةكلاسيك 50 جم,حبة
18024,كوفي ميت 900جم*12,حبة
180249,قهوة سعودية الخير 500جم * 6,علبة
18026,نسكافية كابتشينو منوع شد6,حبة
18027,قهوة كيف المسافر هيل1*4,حبة
18028,قهوة كيف المسافر زعفران,حبة
18031,قهوة دلة الجزيرة هيل,حبة
18032,قهوة  دلة الجزيرة زعفران,حبة
18034,بن حموي  موكا احمر 500جم,حبة
18035,بن حموي   احمر موكا بدون هيل 200جم,حبة
18036,كبسولات كبتشينو منوع,حبة
18037,قشر قهوة,كيلو
18038,خلطة الغامدي,حبة
18039,قهوة شعير المصمك علبة *500جم,علبة
18040,قهوة الشيوخ 1كغم (قهوه سعوديه)شد 12,علبة
18041,قهوه دار خولان علب  500 جرام كرتون شد 12,علبةنصف
18042,بن حموي اخضر 500جم-6حبة,حبة
18043,بن حموي  اخضر200جم -12,حبة
18044,كوفي ميت 400جرام شد 15,حبة
18045,قهوة ابو صالح كبير كرتون*12,علبة
18047,قهوة ابو صالح صغير كرتون*15,علبة
18048,نسكافيةجولد وسط 95 جرام,حبة
18049,نسكافيه جولد كبير ذهبي 190جم,حبة
18050,خلطة الشيوخ كبير -12 حبة,حبة
18051,خلطة الشيوخ صغير 24    125جم,حبة
18052,خلطة الشيوخ وسط 24    250جم,حبة
18054,كوفي ميت صغير 24 حبة,حبة
18055,قهوة نجار هيل اخضر 200جم*20حبة,حبة
18056,قهوة نجار بدون هيل 200*20حبة,حبة
18057,مره 25 جم - حبة صغير 12,علبة
18064,نسكافيه رد مج كبير 200جرام,حبة
18068,خلطة الشاي العدني 100جم *12حبة,حبة
18072,مسحوق رمان تركي 300جم,حبة
18073,مسحوق اناناس رايز 300 جم,حبة
18074,مسحوق توت رايز 300جم,حبة
18074,مسحوق توت رايز 300جم,حبة
18075,مسحوق رمان رايز 200جم,حبة
18076,مسحوق توت رايز 200جم,حبة
18077,مسحوق اناناس  رايز 200جم,حبة
18080,قشر يمني خولاني درجة اولى,كيلو
18081,قهوة الشيوخ (قهوة سعودية )500جم,حبة
18084,بن حموي  ازرق 200جم,حبة
18089,محمد افندي 250جم *12,حبة
18090,خلطة  مصنع اصل الكيف,حبة
18091,مسحوق خوخ رايز 300جم,حبة
18092,سحلب رايز 300جم,حبة
18093,سحلب رايز 200جم,حبة
18094,مسحوق فراولة رايز 200جم,حبة
18101,مسحوق برتقال رايز 200جم,حبة
18102,مسحوق برتقال رايز 300جم,حبة
18104,قهوة كتمونا اكياس مقطرة معتدلة شد 10*10حبه,ضرف
18106,قهوة مختصة لوكاس افريقية شد10*10 حبة,ضرف
18214,كبسولات  ستاربكس 12*57,حبة
18215,بن حموي ازرق مع هال اكسترا 500غ,حبة
18216,كبسولات دولشي منوع شد 3,حبة
18217,قهوة كتمونا افريقي10*10,ضرف
18218,نسكافيه رد مج  وسط  95 جرام,حبة
18219,قهوة مقطرة ليجند منوع 12*100جرام,ضرف
18221,نسكافية رد مج 47.5 جم *12,حبة
18225,قهوة باجة بالزعفران سريعة التحضير 30جرام,ضرف
18226,قهوة باجة بالقرنفل سريعة التحضير 30جم,ضرف
18227,قهوة باجة معتدلة سريعة التحضير 30جرام,ضرف
18228,قهوة باجة بالهيل سريعة التحضير 5 جرام,ضرف
18231,قهوة باجة سريعة التحضير معتدلة5 جم*20,ضرف
18232,قهوة باجة سريعة التحضير بالقرنفل 5 جم*20,ضرف
18234,قهوة ايلي محمصة منوع 250جرام,حبة
18236,نسكافية 3 في 1 اكياس 10*35*20جم,ضرف
18237,قهوة باجة كلاسيك اسباني 50جم*12,حبة
18240,قهوة دافيدوف مطحونة زجاج 100جم *6,حبة
18242,قهوة دلة الجزيرة هيل 4*1*10ظرف,ضرف
18244,مبيض قهوة شد25كجم الخيل,كيلو
18245,قهوة نواه التمر المصمك 300 جم,حبة
18246,قهوة كيف الشيوخ 500 جرام,حبة
18247,قهوة كيف الشيوخ 1000جرام,حبة
18248,بن العميد فرنسيه (مع البندق ),حبة
280186,قهوة ماكسويل هاوس6*326,حبة
19001,زعفران ابو شيبة نجد 1.5جم*12,حبة
19002,زعفران دهني جرام 12 حبه,حبة
19003,زعفران سوبر  نقيل,جرام
19004,لبان امشاط 40جرام,حبة
19005,لبان مجرول تعبئة صغير 25جرام,حبة
19006,مستكا هلال,حبة
19008,زعفران اسباني كبير  3جرام,حبة
19009,زعفران اسباني صغير *75جرام,حبة
19010,زعفران اسباني وسط 1.5جرام,حبة
19011,لبان مجرول كيلو جرام,جرام
19014,لبان شامي حبة- علبة,حبة
19015,مستكا ابيض كيلو * 20 كيلو,كيلو
19017,زعفران المصمك ابوشيبة 2جم *12 حبة,حبة
19021,زعفران ابو شيبة جود 3جم*12,حبة
19022,زعفران اسفدان 1.5جم*12حبة,حبة
19025,مستكاء الوادي علب,علبة
19027,مستكا اصفر اندنوسي  الهلال 400 جم *40حبة,حبة
19028,زعفران اسفدان3 جم,حبة
19029,مستكا اهلا اندنوسي رقم 2,باكت*12
19030,مستكاء الوادي بخور 400جم *24,كيس 400جم
19031,مستكاء اصفر اندنوسي الهلال 400جم *40 حبة,كيس 400جم
19032,لبان مجرول تعبئة28جم علبه كبير,حبة
19037,مستكا التلال,حبة
19038,مستكاء يوناني شد 500جرام,علبة 500جم
19041,زعفران صفدابو شيبه 1.5جم,حبة
19042,زعفران المصمك2م,باكت*12
19044,زعفران مزن  سوبر نقيل 1.75--جم,حبة
19045,زعفران مزن ابو شال -1.75جم,حبة
19046,زعفران شال اصفهان 1.5 جم,حبة
19047,زعفران دروازة 1*12*1.5جم,حبة
19048,زعفران دروازه 1*12*3جم,حبة
19050,زعفران  -بخاخ باكت-6حبة,علبة
19051,خيوط الزعفران -سوبر نقيل -1جم,حبة
19052,زعفران نقيل,جرام
19054,زعفران ابو شال,جرام
19055,زعفران ابو شيبة جود 1.5جم*12,حبة
19058,خيوط الزعفران -ابو شال -1جم,حبة
19059,دهني الخليج لون غذائي,حبة
19062,مستكا يوناني بالكيلو,جرام
19063,شراب الزعفران المحلى ( اسباني ),حبة
19064,حلبة الهلال 250 جم * 24,حبة
19065,زعفران دهني 150جم,حبة
20001,تمر سكري مفتل 3كجم,حبة
20004,تمر سكري القصيم 1كيلو *8,حبة
20005,عجينة تمر 1 كيلو شد 12 حبه,حبة
20006,عجينة تمر 5كغ *3,حبة
20007,رشوديه درجة اولى 1كغ,حبة
20008,خلاص الخرج نصف كيلو حبه  شد 12 فاخر,حبة
20009,خلاص القصيم ابو ربع كيلو شد12*250جرام,حبة
20011,عجوة المدينه 1 كيلو* 14.3ك,كيلو
20012,تمر سكري القصيم نص كيلو  شد 12 حبه,حبة
20014,تمر خلاص القصيم درجة اولى معبا الياً1كغ,حبة
20016,تمر اخلاص اوشيقر درجه اولي  1كغ سوبر *8,حبة
20017,تمر خلاص اشيقر نصف كيلو شد 12 حبه,حبة
20019,تمر سكري علبه دار خولان صغير,حبة
20020,تمر مجروش يدوي 1ك درجه اولي,حبة
20021,دبس تمر كنوز  القصيم700جم شد12,حبة
20023,خلاص القصيم مجروش رقم  1 شد 8*في 1كيلو,حبة
20089,تين  افغاني جامبو * 10 كيلو,كيلو
20121,تمر سكري  مفتل 1 كيلو,حبة
20202,تمر سكري القصيم ملكي باللوز ومشمش4*1,كيس
20203,خلاص الخرج ابو ربع كيلو شد 12 حبة الخماش,حبة
20204,دهن النعام شد 12 حبه,حبة
20205,تمر صقعي مصنع ملكي شد 8 كيلو,حبة
20206,تمر خلاص القصيم الخماش مجروش نص كيلو *12,حبة
20207,تمر سكري القصيم ملكي محشي باللوز 2*1,حبة
20208,تمر خلاص ذهبي 500جرام,حبة
20230, تمرافطار صائم القصيم,كرتون
20233,صقعي درجة اولى  معبا الياً ( 1 كيلو ),حبة
20234,صقعي درجة اولى  معبا الياً ( نصف كيلو ),حبة
20235,تمر صقعي كيلو *5,كيلو
20236,تمر مجدول كيلو *5,كيلو
20237,تمر صقعي * 3كيلو,حبة
20238,تمر مجدول * 3 كيلو,حبة
20241,تمر اخلاص فاخر الياف 1كيلوشد8,حبة
20242,تمر اخلاص ملكي ذهبي  الياف 1كيلوشد8,حبة
2041,تمر خلاص الذهبي شد 8 * كحم,حبة
2042,تمر خلاص الخرج درجه اولي 1كيلو شد 8 حبه,حبة
2044,دبس تمر سطل 350جم,حبة
2045,تمر خلاص القصيم نصف كيلو,حبة
2047,تمر مفتل ملكي بل كيلو,كيلو
2048,تمر مجدولي مبروم كيلو,كيلو
2048,تمر مجدولي مبروم كيلو,كيلو
2049,تمر صقعي مبروم جامبو,كيلو
280288, تمر خلاص القصيم نص كيلو *12,حبة
21001,ماء ورد طائفي,حبة
21003,متة خارطة بيضاء,حبة
21004,ماءالورد سرتي,حبة
21005,متة حمراء ربطة*20,حبة
21006,سحلب مارينا,حبة
21007,سكر استيفيانا كبير,حبة
21008,سكر تروبيكانا عبوة 100,حبة
21009,سكر استيفيانا صغير 1*12,حبة
21011,سكر مكعبات بني,حبة
21013,عرق سوس رمزي,حبة
21014,تلبينة الهلال,حبة
21015,ماجي ابيض نكهات موتو 400جم,حبة
21016,ملح كافي بحري كـ*24,حبة
21017,سكر نبات شد 400*40حبة,حبة
21018,باكنج بودر علب1*12,حبة
21019,سكر مكعبات ابيض,حبة
21021,قمر الدين شد 10كيلو كرتون,حبة
21022,مشمش مجفف 200جم,حبة
21023,تمر هندي كيلو,كيلو
21024,تمر هندي 150جم *100,حبة
21025,بديل دبس رمان 500مل,حبة
21026,فحم المعاريس احمر*24,باكت
21027,فحم المعاريس اسود *24,باكت
21028,ماء الكادي سرتي,حبة
21029,ماء زهر سرتي,حبة
21031,ماء ورد الرمحين بخاخ,حبة
21032,بديل ماجي 500جم-12حبة,حبة
21033,دبس بديل رمان 1000مل -12,حبة
21034,ماء ورد بالمرة الرمحين بخاخ -12,حبة
21036,تين مدور سوري 375 جم شد 24,حبة
21046,سمن القمريه  شد 12,حبة
210991,كوبوليفا زجاج  زيتون شرائح 114 جم * 12,حبة
210992,كوبوليفا علب زيتون حبة كاملة 100جم * 12,حبة
210993,كوبوليفا علب زيتون حبة كاملة 200جم * 12,حبة
210994,ساميانغ بولداك كواب رامن كوري حار    105 جم * 16,علبة
210994,ساميانغ بولداك كواب رامن كوري حار    105 جم * 16,علبة
210995,حليب  جلوريا مبخر 170 مل *48,حبة
210996,جبن كرافت 100 جرام *60,حبة
210997,جبن كرافت 190جرام *36,حبة
210998,جبن كرافت 50 جرام * 72,حبة
210999,حليب لونا ( بوفية ) 410   مل *48,حبة
211000,تونة غويزي 185 جم * 48,حبة
211001,تونة الريان 200جم * 48,حبة
211002,اساميانغ بولداك كياس  رامن كوري 140جم *5*8منوع,كيس
211003,معزز نكهة اجينو موتو الاغا 32,حبة
211004,سكر نكهات علب صغير,حبة
211005,محلبية  كاسترد فوستر كلاركس 24*450 جم,حبة
211007,مضير ام سعود صغير 160 جم,حبة
211008,مضير ام سعود كبير,حبة
211009,نكهة فوستر بالموز 24*12*14 جم,حبة
211010,حليب مبخر السعيدة 170جم *48,حبة
211012,جبنة بوك 500 جم * 6,حبة
211013,جبن بوك 900 جم *6,حبة
211014,جبن بوك 230جم *24,حبة
211016,اناناس شرائح العزيمة 565 جم * 24,حبة
211017,فرشلي خوخ 425جم * 24,حبة
211019,طحينية سائله الجميل فاخره 12*500جرام,حبة
211020,مهلبية  فوستر كلاركس باكت 85 جرام,حبة
211022,عسل الشفا 500 مل,حبة
211023,عسل الشفا 1 كجم,حبة
211024,عسل الشفا 15*250 ملي,حبة
211025,عسل الشفا 28*125 مل,حبة
211026,سكر بني افتا 500 جرام  - 30,حبة
211027,حلاوا طحينية الجميل ساده تنك وزن 15كج,علبة
211029,جلي ريحان فراولة 12*6*85 جم,حبة
211031,دبس رمان 500ملي شد 12,حبة
211033,معجون زنجبيل 500 جم,حبة
211034,معجون دقوس كويتي اخضر 500 جم,حبة
211035,معجون زبدة دجاج500 جم,حبة
211036,معجون كورما ماسالا 500 جم,حبة
211037,معجون تكا ماسالا 500 جم,حبة
211038,معجون تندوري ماسالا 500 جم,حبة
211039,معجون صرار حائل 500 جم,حبة
211040,معجون كبسة 500 جم,حبة
211041,معجون برياني 500 جم,حبة
211042,معجون خلطة البخاري 500 جم,حبة
211044,معجون زنجبيل مع الثوم  500 جم,حبة
211045,معجون  الثوم  500 جم,حبة
211050, ورق عنب شتورة زجاج  1كجم * 12,حبة
211050, ورق عنب شتورة زجاج  1كجم * 12,حبة
211052,جبنة حلومي كامل الدسم نادك رقم 1654,حبة
211054,شرائح انناس جودي 24*567جم,حبة
211055,معجون طماطم رنا 4450جرام *6,علبة
211056,شوربة كويكر 500جرام *24,علبة
211057,ملح طعام ساسا 750جرام *24,حبة
211058,كليجا منوع الطريف ( رغد ),حبة
211059,دبس تمر طبيعي,حبة
211060,سكر مكعبات فاخرة النحلة  50*500 جم,حبة
211061,حليب بنكهة الفراولة 125 مل نادك رقم 1544,حبة
211062,رهايف نكهات منوعه - ريتاج الغلا,باكت
211063,دبس فليفله حاره 375 جم - جوليا,حبة
211064,دبس فليفله حلوة 375 جم - جوليا,حبة
211065,دبس فليفله بارد 1200جم - جوليا,حبة
211066,دبس فليفله بارد 1650جم - جوليا,حبة
211067,دبس فليفله بارد 3200جم - جوليا,حبة
211068,سكر نكهات كبير,باكت
211069,بودرة غذاء ملكات النحل / قطوف الوادي,حبة
211070,بودرة الجنسنج/ قطوف الوادي,حبة
211071,بودرة  العكبر / قطوف الوادي,حبة
211072,حبوب اللقاح / قطوف الوادي,حبة
211073,بودرة طلع النخيل / قطوف الوادي,حبة
21111,ميسو  محلبية  سرتي قزاز اصفر شد12,حبة
21112,دبس تمر الرمحين -12,حبة
21114,مكسرات بالعسل 720جم,حبة
21116,خل تفاح شهابي عضوي  شد 12,حبة
21118,تين سوري حبال 450 جم,حبة
21119,حبق المصمك 20جرام,علبة
21120,نعناع  سوبر 20جرام,علبة
21123,مورينجا علب شد 12 حبه,علبة
21126,كاكاو علب 230جم *20حبة,علبة
21127,كاكو125جرام شد 40حبه,علبة
21130,سكر نبات كيلو,كيلو
21131,سنا مكي -باكت,باكت
21133,حلاوة طحينية  الجميل سادة وزن 4 كغ,علبة
21134,طحينية الجميل سائلة  تنك وزن 10كغ,علبة
21135,طحينة سائل الجميل 5جالون*3كغ,علبة
21137,طحينة سائل الجميل  12*250جم,علبة
21138,سكر ابيض ناعم 10كغ,كيس*10ك
21142,طحينة عصار الخماش شد 12 حبه,حبة
21143,طحينة سائل   سطل 500جم *12 القصيم,حبة
21144,طحينة  سائل سطل 250 جم *24 القصيم,حبة
21146,سكر ابيض ناعم 5كغ,كيس *5ك
21148,تين سوري حبال الشام 250جم *36حبة,حبة
21148,تين سوري حبال الشام 250جم *36حبة,حبة
21151,سحلب مالينا شد24,حبة
21153,عسل الغابة السودا225 جم,حبة
21214,حبق دار خولان علب 50 جرام,علبة
21215,فحم الشعلة كبير,حبة
21216,حليب ابو قوس قزاح 96*170مل,حبة
2146,سرتيه قوارير ميسو شد 12احمر,حبة
2147,طحينيه الجميل ساده 1ك شد 6,علبة
22039,فحم جود صغيرشد 24-80قرص,باكت
22040,فحم الجود كبير شد 12,باكت
23030,خميره فوريه كبير شد20,حبة
23267,حبق حائل 20جرام,حبة
280285,سكر سميري 900جرام * 20,حبة
21040,عرق سوس مطحون *25كيلو,كيلو
22001,رشاد قصيمي,كيلو
22002,مره درجه اولى,كيلو
22003,مره درجة اولى علبه 50جم كبير شد 12,حبة
22004,حلبة مطحون كيلو,كيلو
22005,حلتيت علب  حبة وزن50جم,حبة
22006,حلبة يمني حب,كيلو
22007,عود قسط هندي ناعم,كيلو
22008,كربونات الصوديوم,كيلو
22009,بذور الشياء عضوي,كيلو
22010,شبة ناعم شد20,كيلو
22011,شبه حجر هندي,كيلو
22012,صمغ عربي كيلو,كيلو
22013,محلب سوري,كيلو
22014,حنا كتم ابو ولدين,كيلو
22015,عصفر  شد 10 كيلو,كيلو
22016,مردقوش مصري,كيلو
22017,شيح مصري,كيلو
22018,حناء شد 20كغ,كيلو
22019,لبان نيجيري شد 10كيلو,كيلو
22024,سدر هندي مطحون,كيلو
22025,اكليل الجبل مصري,كيلو
22026,بذر الكتان,كيلو
22027,كركديه مصري5كغ,كيلو
22028,لبان ذكر سوداني شد 50كيلو,كيلو
22029,كراوية مصري,كيلو
22030,يانسون رقم 1 شد 10كغ,كيلو
22031,جاوي احمر,كيلو
22032,جاوي ابيض سوبر,كيلو
22033,كف مريم -كيلو,كيلو
22034,حلبة الرجوي شد 24 حبه,حبة
22035,حلتيت  هندي لين كيلو,كيلو
22037,حناء ام خماس  بودرة -24حبة,حبة
22038,محلب تركي/قلب كرز تركي/,كيلو
22042,عشبة المدينه رقم 1,كيلو
22044,كينوا -بيضاء,كيلو
22045,مراميه شد 5 كغ,كيلو
22046,عود قسط هندي حب,كيلو
22047,فحم وادي حلفا صغير -30 حبه,حبة
22048,عرق سوس رمزي 25كيلو -كيس,كيلو
22049,كربونات الصوديوم دراز,درزان*12
22050,ورد جوري _كيلو,كيلو
22052,بابونج فرط شد 10كغ,كيلو
22053,حلبة هندي جا مبو رقم 1 شد 50كيلو,كيلو
22054,ورق جوافه شد 5كغ,كيلو
22055,فحم وادي حلفا كبير شد 18,حبة
22056,ساق الحمام خوا جوا,كيلو
22057,بذر خردل  هندي 15كغ,كيلو
22058,سنا مكي,كيلو
22059,وسمة مطحون -كيلو,كيلو
22060,عنزروت رقم 1,كيلو
22061,قشر رمان  حب,كيلو
22062,حلبة هندي جامبو 25كغ,كيلو
22063,طين خاو ابيض شد50ك,كيلو
22065,مرة درجة اولى علب 28 جم,حبة
22066,خزامية نفسجي درجة اولى,كيلو
22069,حناء بيضاء,حبة
22071,وسمة ورق,كيلو
22072,ورق زيتون فلسطيني,كيلو
22073,مورينجا10 كغ,كيلو
22074,بذر الكرفس,كيلو
22076,بذور  الشبت - كيلو,كيلو
22077,بذر الخله,كيلو
22078,صمغ عربى الهلال 150جم,كرتون
22078,صمغ عربى الهلال 150جم,كرتون
22084,مليسة فله شد 5كغ,كيلو
22086,بذور القطونة,كيلو
22087,مرامية شد 5كغ,كيلو
22088,ورق اس كيلو,كيلو
22089,بذور الشبث كيلو,كيلو
22090,بذر الفجل,كيلو
220907,ورد محمدي شد 8 كيلو,كيلو
220908,مضير علب 200جرام كبير,علبة
22091,بذر الرجلة,كيلو
22092,بذر بقدونس كيلو,كيلو
22095,نقض مشكل,كيلو
22096,بذور الفجل كجم,كيلو
22097,بذور الحرمل كيلو,كيلو
22098,عشبة مشاط كيلو,كيلو
22099,ارطة مطحون كيلو,كيلو
22100,عرعر كيلو,كيلو
221000,عشبة العسق,كيلو
221001,ورق توت,كيلو
221002,تمر هندي ناشف 150 جم *40,حبة
221003,مسحوق جذور الشوغاندا العضوي 200 جم,حبة
221004,مسحوق جذور الشمندر الاحمر طبيعي 200 جم,حبة
221005,جعده,كيلو
221006,رشاد هندي شد 10 كيلو,كيلو
221007,عشبة قطف,كيلو
22101,قرمع كيلو,كيلو
22102,لسان البحر,كيلو
22104,بذور الجرجير,كيلو
22105,عشبة الهندباء,كيلو
22106,سدر ورق كيلو,كيلو
22107,حناء ورق كيلو,كيلو
22108,فلفل هواء,كيلو
22109,قرض بالكيلو,كيلو
22110,ديرم رقم 1 شد25 ك,كيلو
22111,عكر فاسي,حبة
22112,حبق بالكيلو,كيلو
22113,صمغ مقل شد 50,كيلو
22114,رجل اسد,كيلو
22115,عصفر  شد 5كغ,كيلو
22119,زهورات 100جم شد 50,حبة
22120,زهورات فله شد 5 كجم,كيلو
22122,بابونج فرط شد 5 كجم,كيلو
22123,حناء علب -دار خولان 500جرام شد 12,حبة
22124,سدر مطحون علب دار خولان500جم,حبة
22124,سدر مطحون علب دار خولان500جم,حبة
22125,سدر مطحون علب دار خولان250جم,حبة
22126,حناء علب دار خولان250جم,حبة
22127,شيح بلدي عيدان,كيلو
22128,حزاء عيدان -كيلو,كيلو
22129,ورق تين,كيلو
22130,تراب المسك الهلال,حبة
22132,ورق حرمل,كيلو
22133,حرجل,كيلو
22134,محلب اسود,كيلو
22135,حسك (قطب),كيلو
22136,شكاكي,كيلو
22137,زعتر ورق الشهباء 150 جرام,كيس
22140,حلبة مصري,كيلو
22141,زعتر البستان 20ك,كيلو
22142,حلبه هندي صفرا 15كيلو,كيلو
22143,ورق قراص,كيلو
22144,لبان عماني درجه اولي كيلو,كيلو
22145,جنكه,كيلو
22146,كرمع,كيلو
22147,زعرور فرط بالكيلو,كيلو
22148,عفص ابيض حب,كيلو
22149,تمر هندي ناشف السفينة 1ك,حبة
22150,ورد احمر,كيلو
22151,عناب,كيلو
22152,سكر خشن 50 كيلو,كيس*50ك
22153,مورينجا مطحون بالكيلو,كيلو
22154,عشبة الريتا,كيلو
22155,عشرق,كيلو
22156,زهرة رجل الاسد,كيلو
22157,حبوب اللقاح فله,جرام
22158, مضير علب صغير,علبة
22161,سدر مطحون يمني درجة اولى,كيلو
22162,عشبة الماكافقع,كيلو
22201,شطة ببريكا بودرة شد 9 كيلو,كيلو
22220,ورق كاري,كيلو
22333,بذر الخردل الهندي 10 كيلو,كيلو
22906,كينوا - حمراء,كيلو
22999,عشبة دم الاخوين,كيلو
28064,اذخر كيلو,كيلو
280905,مورينجا مطحون,كيلو
102204,حبوب لقاح فله,كيلو
23,جاوي اسود ممتاز,كيلو
23020,ليف الداله الحوت,حبة
23021,لبان امشاط حبة كبير كيلو,كيلو
23023,صبره حضرمي,كيلو
23025,املج باكستاني حب,كيلو
23026,رزنه خضرا  كيلو,كيلو
23027,نشاء الذره تركي شد25 ك,كيلو
23028,نعناع مجفف سوري 1 كجم,كيلو
23031,موميان باكستاني حجر,كيلو
23034,ورد جوري احمر شد 5كغ,كيلو
23209,بذور المورينجا,جرام
232205,روز كريم تفتيح البشرة,حبة
232206,بذاير مشكلة,كيلو
232207,كريم 21عصار 75مل شد2درزن,حبة
232208,ذيل الحصان,كيلو
232209,مومياء علب حديد 1 كيلو,علبة
23221,زعتر اوريجانو سوري الاصلي بالكيلو,كيلو
232210,عطر مسك ابيض الهلال نصف تولة *288,حبة
232211,عطر مسك اسودالهلال نصف تولة *288,حبة
232212,شرش الزلوع,كيلو
232215,عاقل القرح,كيلو
232219,ظفر,كيلو
23222,عرق سوس عيدان الاصلي بالكيلو,كيلو
232221,بذور الهندباء,كيلو
23223,صندل رويال مطحون كيس 20كجم,كيلو
23224,لسان العصفور - لسان الطير مر شد 20 كجم,كيلو
23225,شمع عسل ابيض - اصفر,كيلو
23232,طين اخضر بالكيلو للاكل,كيلو
23233,رواندا - راوند - غطرفان بالكيلو,كيلو
23238,سنبلة مطحون بالكيلو,كيلو
23250,زيت بارشوت 450مل شد 24حبة,حبة
23251,زيت بارشوت 200مل شد 96حبة,حبة
23252,كريم كاب صنفرة500جرام,حبة
23253,صابون مغربي 1000 مل,حبة
23255,فازلين الاصلي 250مل,حبة
23256,فازلين الاصلي 50 مل,حبة
23257,صنفرة الشفاء تركي منوع 300مل شد 24,حبة
23258,جل الصبار الاصلي 300مل,حبة
23259,صابون الباباي 3*1,حبة
23260,صابون دوف الاصلي,حبة
23262,صابون غار الطاووس,حبة
23263,صابون الكركم الاصلي,حبة
23264,صابون غار قلعية الاصلي,حبة
23264,صابون غار قلعية الاصلي,حبة
23265,حنا الامير الاصلي,حبة
23266,صبغة كاترينا الاصلي,حبة
23270,يوكو ملح سبا الحليب 300جرام,حبة
23271,ليفة مغربي اسود للجسم,حبة
23272,صابون المر دود امريكي,حبة
23273,كريم جلسرين 125 مل *12,حبة
23275,عفص اخضر حب,كيلو
23276,حناء يمني الهلال سوبر,كيلو
23277,عودعاشق العود,حبة
23278,صمغ كثير كيلو,جرام
23279,عفص مطحون كيلو,كيلو
23282,خروب عود كجم,كيلو
23283,حلتيت اصلي  باكستاني لين كيلو,جرام
23284,دوم حب - عطارة,كيلو
23285,املج مطحون بالكيلو,كيلو
23286,نيلة حجر بالكيلو 25 كجم,كيلو
23287,نيلة مطحون,كيلو
23288,عشبة الكثيراء بالكيلو,كيلو
23289,شب اسود حجر 20كجم,كيلو
23290,شب اسود ناعم 20كجم,كيلو
23900,بذور السكران,كيلو
23901,بذور السكون - حبة المفظلة,كيلو
23902,سانوج بذور,كيلو
23903,عود المغاط اعواد,كيلو
25048,كافور كيلو,كيلو
25630,قرفة سيلاني 1كيلو,كيلو
280225,بذور الاكبي كيلو,كيلو
280257,ملوخية مجففة منوع 200غ,كيس
28044,ارز مصري صنوايت 1 كجم,كيس
28046,شذاب بلدي شد 25,كيلو
28048,نعناع المصمك فاخر20 جم,حبة
28053, غذاءغذاء ملكة النحل السلمان,حبة
28058,بودره لقاح النخيل السلمان,حبة
28069,حبوب القاح القاح,حبة
28089,نيلة زرقاء مغربي,جرام
24001,بخور النبيل الاصلي,حبة
24010,معمول دوسري صغير *24 ( سوبر ),حبة
24010,معمول دوسري صغير *24 ( سوبر ),حبة
24024,بخور عاشق العود الماس,حبة
240243,كريم ابو وردة انجليزي كبير,حبة
240244,فرد شعر زيتون ors قوي,حبة
240245,فازلين زيتي كاكو عربي 200 ملي,حبة
240246,صابون الوزير قوالب  شد 4 معطر,ربطة
240247,بحور العود (كٍسر عود )40 جم,حبة
24107,بخور عود معطر الخنجر,حبة
24108,بخور  مذهل,حبة
24109,معطر منزل الما,حبة
24110,معطر منزل الخنجر,حبة
24111,معطر منزل مذهل -بانافع,حبة
24112,معطر منزل اسكب,حبة
24113,معطر منزل سوليتر,حبة
24114,معطر منزل عاشق العود الماس,حبة
24115,معطر منزل كويتي الماس,حبة
24117,لبان عدني بخور كيلو,كيلو
24118,معطر مفارش صبايا الرحاب500مل,حبة
24120,بانتين بديل الزيت 275 ملي منوع,حبة
24121,صابون قوالب افريقي دودو,حبة
24122,عطر الفنادق مذهله روئع العندليب,حبة
24123,معمول دوسري صغير اصيل  *24,حبة
24124,كريم داكس اخضر صغير,حبة
24125,كريم داكس اخضر كبير,حبة
24126,اكسا صابون مغربي بزيت الزيتون  1000 مل,حبة
24127,بخور عماني الماس,حبة
